Target,CommonName,Distance_pc,DistanceError_pc,StarMass_MSun,StarMass1SigUp_MSun,StarMass1SigDown_MSun,StarLuminosity_LSun,StarLuminosityError_LSun,EffectiveTemperature_K,EffectiveTemperatureError_K,Age_Myr,Age1SigUp_Myr,Age1SigDown_Myr,AgeRefs,CloseBinarySeparation_arcsec,UncorrectedBBRadius_au,UncorrectedBBRadiusError_au,DiscInnerEdgePeri_au,DiscInnerEdgePeri1SigUp_au,DiscInnerEdgePeri1SigDown_au,DiscInnerEdgeApo_au,DiscInnerEdgeApo1SigUp_au,DiscInnerEdgeApo1SigDown_au,DiscOuterEdgePeri_au,DiscOuterEdgePeri1SigUp_au,DiscOuterEdgePeri1SigDown_au,DiscOuterEdgeApo_au,DiscOuterEdgeApo1SigUp_au,DiscOuterEdgeApo1SigDown_au,OuterDiscData,InnerBeltR_au,InnerBeltRError_au,IsDiscModelAsymmetric,DiscInclinationToSky_deg,DiscInclinationToSky1SigUp_deg,DiscInclinationToSky1SigDown_deg,Wavelength_um,DiscFlux_mJy,DiscFlux1SigUp_mJy,DiscFlux1SigDown_mJy,ShannonMPlt_MJup,ShannonMPlt1SigUp_MJup,ShannonMPlt1SigDown_MJup,ShannonPltLoc_arcsec,ShannonNPlts,ShannonNPlts1SigUp,ShannonNPlts1SigDown,ShannonPltLoc1SigUp_arcsec,ShannonPltLoc1SigDown_arcsec,PearceMPlt_MJup,PearceMPlt1SigUp_MJup,PearceMPlt1SigDown_MJup,PearcePltSemimajorAxis_au,PearcePltSemimajorAxis1SigUp_au,PearcePltSemimajorAxis1SigDown_au,PearcePltEccentricity,PearcePltEccentricity1SigUp,PearcePltEccentricity1SigDown,PearcePltApocentre_arcsec,PearcePltApocentre1SigUp_arcsec,PearcePltApocentre1SigDown_arcsec,MinDiscMassToSelfStirKrivov_MEarth,MinDiscMassToSelfStirKrivov1SigUp_MEarth,MinDiscMassToSelfStirKrivov1SigDown_MEarth,MinSMaxToSelfStir_km,MinSMaxToSelfStir1SigUp_km,MinSMaxToSelfStir1SigDown_km,SKmToStir_km,SKmToStir1SigUp_km,SKmToStir1SigDown_km,VFragSKmToStir_mPerS,VFragSKmToStir1SigUp_mPerS,VFragSKmToStir1SigDown_mPerS,DustMass_MEarth,DustMass1SigUp_MEarth,DustMass1SigDown_MEarth,MinPlanetMassToStir_MJup,MinPlanetMassToStir1SigUp_MJup,MinPlanetMassToStir1SigDown_MJup,ObsLimAtPearceLoc_MJup,ObsLimAtPearceLoc1SigUp_MJup,ObsLimAtPearceLoc1SigDown_MJup,PearceMPltOverObs,PearceMPltOverObs1SigUp,PearceMPltOverObs1SigDown,ShannonMPltOverObs,ShannonMPltOverObs1SigUp,ShannonMPltOverObs1SigDown,WasObsFileFound,IsACompanionTentitavelyDetected,ObsLimAtInnerEdgePeri_MJup,ObsLimAtInnerEdgePeri1SigUp_MJup,ObsLimAtInnerEdgePeri1SigDown_MJup,ObsLimAtInnerEdgeApo_MJup,ObsLimAtInnerEdgeApo1SigUp_MJup,ObsLimAtInnerEdgeApo1SigDown_MJup,MpltOverObsPltStir,MpltOverObsPltStir1SigUp,MpltOverObsPltStir1SigDown,DetectedOuterPltSemimajorAxis_au,DetectedOuterPltSemimajorAxis1SigUp_au,DetectedOuterPltSemimajorAxis1SigDown_au,DetectedOuterPltMass_MJup,DetectedOuterPltMass1SigUp_MJup,DetectedOuterPltMass1SigDown_MJup,DetectedOuterPltSemimajorAxisOverPearceSemimajorAxis,DetectedOuterPltSemimajorAxisOverPearceSemimajorAxis1SigUp,DetectedOuterPltSemimajorAxisOverPearceSemimajorAxis1SigDown,DetectedOuterPltMassOverPearceMass,DetectedOuterPltMassOverPearceMass1SigUp,DetectedOuterPltMassOverPearceMass1SigDown,CouldDetectedPlanetSculptDiscInnerEdge,CouldDetectedPlanetStirDisc,Notes
CD-522472,-,152.58,0.64,1.06,0.07,0.12,1.57,0.02,5740.0,70.0,50.0,50.0,10.0,chen14,0.1,4.0,1.0,11.014781537584273,3.3558125873044955,3.3558125873044955,11.014781537584273,3.3558125873044955,3.3558125873044955,11.014781537584273,3.3558125873044955,3.3558125873044955,11.014781537584273,3.3558125873044955,3.3558125873044955,Paw17,,,False,,,,,,,,0.004735380472996503,0.0024142836376794727,0.005234791185477964,0.07219020538461314,,,,0.021995875064933022,0.021995875064933022,0.24910287589621236,0.06005449465502304,0.13121358942373337,9.098209550044608,2.6696200465844906,2.6584390261096327,,,,0.059629109647690436,0.017498314346518797,0.01742504213903601,,,,,,,,,,,,,,,,0.00024252374010672053,0.00040924123215382944,0.0004733579676967154,1e+99,1e+99,1e+99,2.4910287589621235e-100,2.562397024429157e-100,2.815479512076475e-100,4.735380472996503e-102,5.3153168962163876e-102,7.058814842421804e-102,True,True,1e+99,1e+99,1e+99,1e+99,1e+99,1e+99,2.4252374010672055e-103,4.757059497316979e-103,5.318698431922202e-103,,,,,,,,,,,,,,,26/07/21.SED. Spectroscopic binary \citep{Mermilliod2009}
CPD-722713,-,36.62,0.03,0.8,0.02,0.02,0.18600000000000003,0.002,3910.0,70.0,24.0,3.0,3.0,"bell15, BPMG",,26.0,7.0,84.0,34.9857113690718,25.0,84.0,34.9857113690718,25.0,184.0,26.90724809414742,33.54101966249684,184.0,26.90724809414742,33.54101966249684,REASONS,,,False,41.0,14.0,23.0,1330.0,3.9,0.4,0.4,0.1804931812473979,0.11642682855559051,0.08563059902063715,2.2938285090114694,,,,0.955373540317073,0.6826896425315871,1.1480956075199984,0.33545486740320923,0.24456173419248026,60.647999999999115,23.655226001263248,16.905001588964687,,,,1.6561441835062567,0.6459660889819062,0.46163502459574207,6120.101183043147,2890.824833121898,2904.3553737842017,18.844937140152982,2.5636129539224632,3.104312943090761,0.015388596994612484,0.005706052611799272,0.006646974288879561,9.116645832199932,0.906909137595274,0.778530355066626,0.16040405132160176,0.029948644316102918,0.029948644316102918,0.31498044631165495,0.36425395808876443,0.4819525977238791,2.14,0.6051885369532362,0.6051885369532362,0.5364932745420553,0.21815314219022355,0.18994466157378367,0.09400686523301975,0.06654974442216952,0.05235339840487758,True,False,1.92,0.56,0.56,1.92,0.56,0.56,0.1640523157873203,0.19565658142015036,0.25553671165060315,,,,,,,,,,,,,,,"20/05/21. TYC9340-437-1. REASONS. ALMA data taken but not published, public release date was 2018 (PI: Agnes Kospal). Part of Kospal's 'hybrid discs' proposal, check gas content. \cite{Moor2020} find disc can just be self-stirred, but we don't, since we use a wider ring model."
GJ581,-,6.3,0.01,0.25,0.06,0.03,0.01205,0.00023999999999999998,3225.0,70.0,5000.0,3000.0,3000.0,Lestr12,0.1,4.0,1.0,16.0,6.928185740503246,6.928185740503246,16.0,6.928185740503246,6.928185740503246,16.0,6.928185740503246,6.928185740503246,16.0,6.928185740503246,6.928185740503246,Paw17,,,False,,,,,,,,4.0261327713382506e-05,3.615173259731556e-05,3.5908790638059216e-05,2.5396825396825395,,,,1.0997194109903046,1.0997194109903046,0.0118662451824123,0.005502841305687241,0.0051747924014996435,14.239999999999998,6.004493063375338,6.004436028032746,,,,2.2603174603174603,0.9531008899457267,0.9530918367808884,,,,,,,,,,,,,,,,2.0619943496394735e-06,5.029774773736045e-06,5.0252079171884695e-06,6.11,1.4125,1.4125,0.0019421023211804091,0.0010063339338271544,0.0009585824224948627,6.885648603132546e-06,6.392974022226509e-06,6.3527998202883835e-06,True,False,5.847136563876652,1.3805286343612333,1.3805286343612333,5.847136563876652,1.3805286343612333,1.3805286343612333,3.5265028054558915e-07,8.642317778752409e-07,8.634543728011434e-07,0.07400000000000001,0.001,0.001,0.017783,0.001214,0.000752,0.005196629213483147,0.0021923348139056614,0.0021923556172367335,1.498620644241979,0.6614979860577772,0.6978523767546424,False,False,"21/05/21. SED system. Herschel 70 and 100um data exist \citep{Lestrade2012}, but only marginally resolved (e.g. \citealt{CroninColtsmann2021}), and our \textit{Herschel} model fails to fit the disc convincingly. 100um model exists but confused. Disc span of 25 to ${>60\au}$ fit by \cite{Lestrade2012} larger than our SED value \#CHECK. Multiple planets very close (a<0.1au) to star, Neptunes and super-Earths (Bonfils2005, Udry2007, Mayor2009, Robertson2014). Outermost planet at 0.074 au with mSinI 0.017783 mJup. Age ${2-8\gyr}$ \citep{Lestrade2012}. Ralf lists as close binary, check"
GJ649,-,10.38,0.0034,0.4,0.06,0.06,0.0452,0.0003,3600.0,70.0,4500.0,2250.0,2250.0,vey18,,8.0,5.0,32.0,21.866421483645617,21.866421483645617,32.0,21.866421483645617,21.866421483645617,32.0,21.866421483645617,21.866421483645617,32.0,21.866421483645617,21.866421483645617,Paw17,,,False,,,,,,,,0.00016004811667825683,0.00018361826238860474,0.00018361826238860474,3.082851637764932,,,,2.1065919071148542,2.1065919071148542,0.029317784256559867,0.016393192410654494,0.016393192410654494,27.999999999999996,18.56128480090644,18.56128480090644,,,,2.6974951830443152,1.7881779447792379,1.7881779447792379,,,,,,,,,,,,,,,,8.196905840025479e-06,3.067523465803867e-05,3.067523465803867e-05,1e+99,1e+99,1e+99,2.931778425655987e-101,3.3589719128431693e-101,3.3589719128431693e-101,1.6004811667825683e-103,2.43579691137967e-103,2.43579691137967e-103,True,False,1e+99,1e+99,1e+99,1e+99,1e+99,1e+99,8.19690584002548e-105,3.1751524163037916e-104,3.1751524163037916e-104,1.135,0.035,0.035,0.32799999999999996,0.032,0.032,0.04053571428571429,0.026900305881810964,0.026900305881810964,11.187748607796301,6.350195238471338,6.350195238471338,False,True,"12/05/21. HIP83043. SED system, Herschel data exists which may be marginally resolved (Kennedy2018), but unclear. Grant says don't use Herschel, but add note (Grant: I’ve seen a few like this, that look less resolved in updated data reductions. This might have something to do with improved use of telescope pointing data, or use of a different PSF. For this one I think some of the N/S residuals are still there, but not as convincingly as before. So I think omit, but add a note about being marginal). SED disc radius at upper end of \textit{Herschel} estimates of somewhere between 10 and ${30\au}$ from \cite{Kennedy2018} \#CHECK. Planet: MSinI=0.328 mJup at 1.135 au, eccentric (Johnson2010), although eccentricity could instead be much smaller additional planet further in (Wittenmyer2013). Larger planet is much more massive than our predicted planet, and much further in - could it sculpt disc?"
HD166,-,13.77,0.01,0.99,0.01,0.02,0.634,0.005,5480.0,70.0,250.0,200.0,100.0,"MH08, Rami12, Vic12, gasp13, ston18, baf20",,9.0,0.6,11.9457,9.671510000000001,9.671510000000001,11.9457,9.671510000000001,9.671510000000001,43.474,15.1784,15.1784,43.474,15.1784,15.1784,Herschel,,,False,54.002071663385976,22.420074643500026,22.420074643500026,70.0,82.4144,4.57974,4.57974,0.0010337204621645815,0.0013257744426793175,0.001506876597640545,0.8675163398692811,,,,0.7023612121081187,0.7023612121081187,0.11562882556781066,0.07056452942747117,0.0802711366439553,10.237464899999992,8.007820210701537,8.006194737031391,,,,0.7434615032679733,0.5815412971620136,0.5814232526471659,1.1577070759360464,1.1160518365914773,1.244030835222221,18.173188281329715,4.348585235393216,4.988282155577488,0.06429908722953069,0.056948825350326845,0.05236654454069781,6.860278920314076,0.743939862636108,0.8090375578530642,0.00011478282332082788,1.2194944548941875e-05,1.2194944548941875e-05,0.0177167264118465,0.05201349165848796,0.05344240716088274,6.124040114285723,1.9110100285714307,1.9110100285714307,0.018881134579455155,0.012941528538862757,0.014370868796877814,0.0002029645067187527,0.0002686974458813766,0.00030327359499768595,True,False,5.093109523809524,1.6717571428571427,1.6717571428571427,5.093109523809524,1.6717571428571427,1.6717571428571427,0.00347856772547762,0.010276152529042579,0.010555019886347598,,,,,,,,,,,,,,,"27/07/21.\textit{Herschel} ${70\um}$. \cite{Chen2014} give TWA and ${20\myr}$, but BS gives ${>99 \percent}$ field, so older?"
HD203,-,39.91,0.1,1.43,0.01,0.01,4.27,0.03,6840.0,70.0,24.0,3.0,3.0,"bell15, BPMG",,11.8,0.7,28.530490291838618,5.927605457012948,5.927605457012948,28.530490291838618,5.927605457012948,5.927605457012948,28.530490291838618,5.927605457012948,5.927605457012948,28.530490291838618,5.927605457012948,5.927605457012948,Paw17,,,False,,,,,,,,0.047767085998435405,0.016736236327405913,0.016736236327405913,0.7148707164078832,,,,0.14853511674481257,0.14853511674481257,0.8498706740171484,0.13289061171755795,0.13289061171755795,22.168190956758504,4.3677978654738405,4.3677978654738405,,,,0.5554545466489227,0.10945003853782984,0.10945003853782984,,,,,,,,,,,,,,,,0.002446403708509036,0.0028629836264727044,0.0028629836264727044,9.275853782809326,2.2957392219056567,2.2957392219056567,0.09162182737207322,0.026822613840101237,0.026822613840101237,0.006682943828336087,0.0029294811874185102,0.0029294811874185102,True,False,7.147611475634445,1.8828503280710003,1.8828503280710003,7.147611475634445,1.8828503280710003,1.8828503280710003,0.00034226870288747545,0.00041057315169802357,0.00041057315169802357,,,,,,,,,,,,,,,"21/05/21. SED system, 70 and 100um Herschel data exist but unresolved "
HD377,-,38.48,0.09,1.07,0.05,0.05,1.17,0.01,5780.0,70.0,220.0,50.0,50.0,"sier14, baf20, espo20",,20.0,1.0,57.220109568792395,10.226678950466384,10.226678950466384,57.220109568792395,10.226678950466384,10.226678950466384,57.220109568792395,10.226678950466384,10.226678950466384,57.220109568792395,10.226678950466384,10.226678950466384,Paw17,,,False,,,,,,,,0.01280266419362858,0.004687766926963319,0.004687766926963319,1.487009084428077,,,,0.2657888408898577,0.2657888408898577,0.3971925497183519,0.06702054001680798,0.06702054001680798,45.94774798373961,7.839178030532907,7.839178030532907,,,,1.194068294795728,0.20373998479157857,0.20373998479157857,,,,,,,,,,,,,,,,0.0006556917699169402,0.0006807352733766804,0.0006807352733766804,10.52002026270915,2.5805766389823526,2.5805766389823526,0.03775587306863852,0.011241143893649634,0.011241143893649634,0.0013371913920478327,0.0005583039755120639,0.0005583039755120639,True,True,9.574294502466119,1.920903498430652,1.920903498430652,9.574294502466119,1.920903498430652,1.920903498430652,6.848460424400451e-05,7.241578220744799e-05,7.241578220744799e-05,,,,,,,,,,,,,,,"08/06/21.SED system, but resolved scattered light NICMOS image showing disc around ${86\pm15\au}$ \citep{Choquet2016}. Not too dissimilar to our SED radius of ${60\pm10\au}$ \#CHECK. More detailed notes in \citet{Holland2017}. Age 32-250 Myr (refs in \citealt{Holland2017})."
HD870,-,20.62,0.01,0.87,0.02,0.04,0.506,0.003,5360.0,70.0,3000.0,1000.0,1000.0,"baf20, chen14, sier14",,19.0,2.0,60.61734145164307,12.522362120906385,12.522362120906385,60.61734145164307,12.522362120906385,12.522362120906385,60.61734145164307,12.522362120906385,12.522362120906385,60.61734145164307,12.522362120906385,12.522362120906385,Paw17,,,False,,,,,,,,0.0009230852642164517,0.0004302638276704828,0.00043065611440097173,2.939735278935163,,,,0.6072937258633317,0.6072937258633317,0.10161321034748659,0.022142421073760323,0.02235567561383996,51.94906162405766,10.372954574314054,10.372981256933059,,,,2.5193531340474133,0.5030545668733363,0.5030558608859602,,,,,,,,,,,,,,,,4.7276051415887904e-05,5.694410666435908e-05,5.695188446314974e-05,18.13,3.61817859581924,3.61817859581924,0.005604699964009189,0.0016561096918616396,0.0016648030315716295,5.091479670250699e-05,2.5744203722542853e-05,2.5764151434845925e-05,True,False,18.13,3.5528159928255714,3.5528159928255714,18.13,3.5528159928255714,3.5528159928255714,2.6076145292822893e-06,3.1821735515191843e-06,3.182596986548406e-06,,,,,,,,,,,,,,,27/07/21. SED.
HD1404,$\sigma$ And,42.03,1.06,1.95,0.2,0.15,22.0,1.0,8700.0,100.0,450.0,230.0,230.0,"gasp13, chen14, Vic12, mario",,18.0,1.0,35.16741189110631,9.900691286363386,9.900691286363386,35.16741189110631,9.900691286363386,9.900691286363386,35.16741189110631,9.900691286363386,9.900691286363386,35.16741189110631,9.900691286363386,9.900691286363386,Paw17,,,False,,,,,,,,0.004071210169330286,0.0027377120226245587,0.0027342269274991987,0.8367216724031956,,,,0.23650578673176886,0.23650578673176886,0.3166767054229212,0.1027852361001699,0.10147174489165443,29.646128224202172,8.043900197851796,8.043861334582717,,,,0.7053563698358832,0.19220969931224727,0.1922087786254512,,,,,,,,,,,,,,,,0.00020850808560303523,0.0003409296826367087,0.00034085631465721695,27.8876138861071,10.040614023073152,10.040614023073152,0.011355460768935899,0.0055044876498134545,0.0054730626031480965,0.00016452736484745832,0.0001246369864751854,0.0001245119818664251,True,False,24.744881637804824,8.631586006750862,8.631586006750862,24.744881637804824,8.631586006750862,8.631586006750862,8.426311697708023e-06,1.4087825367413918e-05,1.4084925657071524e-05,,,,,,,,,,,,,,,"01/06/21. sig And. 100um Herschel data exist but unresolved. A2 \#CHECK star with M4 (${0.17 \mSun}$) companion at projected separation ${271\au}$ \citep{Rodriguez2015}. Disc at ${35\au}$ \#CHECK around primary, so companion unlikely to be sculpting disc."
HD1461,-,23.45,0.03,1.07,0.04,0.04,1.2409999999999999,0.008,5740.0,70.0,6000.0,1000.0,1000.0,"sier14, niss20, chen14",,26.0,1.0,52.1863,27.48,27.48,52.1863,27.48,27.48,145.416,42.7245,42.7245,145.416,42.7245,42.7245,Herschel,,,False,54.46451855860829,14.142786734240106,14.142786734240106,100.0,55.1935,3.5254199999999996,3.5254199999999996,0.0004088683719565547,0.0003326716196176069,0.0003326716196176069,2.2254285714285715,,,,1.1718584690959712,1.1718584690959712,0.07842507288631008,0.03046990986507895,0.03046990986507895,45.663012499999695,23.32415290238655,23.32415290238655,,,,1.947249999999987,0.9946365056840077,0.9946365056840077,8.972669407737202,6.802616123170446,6.802616123170446,13.839112947357386,3.044027689614287,3.044027689614287,0.04772787598578344,0.028955953165245178,0.028955953165245178,7.184696441404994,0.758108269583018,0.758108269583018,0.0009434043802873213,7.807755442496673e-05,7.807755442496673e-05,0.0021073345604088996,0.004401774812991479,0.004401774812991479,20.456955483490614,4.266272995283034,4.266272995283034,0.003833662978325465,0.0016904774522695158,0.0016904774522695158,2.0841132785686664e-05,1.75224232432154e-05,1.75224232432154e-05,True,True,19.618337264150945,4.155667452830189,4.155667452830189,19.618337264150945,4.155667452830189,4.155667452830189,0.00010741657318021963,0.00022552121107198426,0.00022552121107198426,0.1117,0.0039,0.0039,0.021628111342833746,0.004746321997003039,0.004746321997003039,0.0024461811405894593,0.0012523974367798598,0.0012523974367798598,0.2757805705094749,0.12305771238357972,0.12305771238357972,False,False,"21/04/21. Probably two super-Earths inside ~0.1 au (Rivera2010, Diaz2016). Outermost at 0.1117 au with mSinI 0.0176 mJup"
